employees/jobTitle,employees/age,employees/countInAgeGroup,employees/countSelected,employees/countNotSelected
"Associate Director, Information Architecture",46,1,0,1
"Associate Director, UX/UI Design",53,1,1,0
"Director, Enterprise Architecture",59,1,0,1
"Director, Enterprise Architecture",57,1,0,1
"Director, Enterprise Architecture",56,1,0,1
"Director, Enterprise Architecture",55,1,0,1
"Director, Enterprise Architecture",54,1,0,1
"Director, Enterprise Architecture",53,1,0,1
"Director, Enterprise Architecture",50,1,0,1
"Director, Enterprise Architecture",48,1,0,1
"Director, Enterprise Architecture",47,2,0,2
"Director, Solution Architecture",53,1,0,1
"Director, Solution Architecture",43,1,0,1
"Director, Technology Partnership",54,1,0,1
"Senior Director, Enterprise Architecture",47,1,0,1
"Senior Director, Information Architecture",56,1,0,1
"Executive Director, Enterprise Architecture",63,1,1,0
"Executive Director, Enterprise Architecture",55,1,0,1
"Executive Director, Technical Product Management",46,1,0,1
"Senior Associate, Administrative Services",59,1,0,1
"Associate Specialist, Business/Tech. Analysis",27,1,0,1
"Associate Specialist, Service Management",32,1,0,1
"Associate Specialist, Service Management",30,1,0,1
"Associate Specialist, Service Management",29,2,0,2
"Associate Specialist, Talent Rotation",23,1,0,1
"Associate Specialist, Technical Support",55,1,0,1
"Associate Specialist, Technical Support",32,1,0,1
"Associate Specialist, Technical Support",29,1,0,1
"Associate Specialist, Technical Support",28,1,0,1
"Associate Specialist, Technical Support",25,1,0,1
"Associate Specialist, Technical Support",24,2,0,2
"Specialist, Business/Tech. Analysis",36,1,0,1
"Specialist, Infrastructure Engineering",55,1,0,1
"Specialist, Infrastructure Engineering",49,2,0,2
"Specialist, Infrastructure Engineering",48,1,0,1
"Specialist, Infrastructure Engineering",47,1,0,1
"Specialist, Infrastructure Engineering",44,1,0,1
"Specialist, Infrastructure Engineering",41,1,0,1
"Specialist, Infrastructure Engineering",39,1,0,1
"Specialist, Infrastructure Engineering",33,1,0,1
"Specialist, Infrastructure Engineering",32,1,0,1
"Specialist, Infrastructure Engineering",29,1,0,1
"Specialist, Service Delivery/Management",48,1,1,0
"Specialist, Service Management",71,1,1,0
"Specialist, Service Management",70,1,0,1
"Specialist, Service Management",67,1,0,1
"Specialist, Service Management",62,1,0,1
"Specialist, Service Management",60,2,0,2
"Specialist, Service Management",57,2,1,1
"Specialist, Service Management",54,1,0,1
"Specialist, Service Management",47,1,0,1
"Specialist, Service Management",45,1,1,0
"Specialist, Service Management",41,1,0,1
"Specialist, Service Management",39,1,0,1
"Specialist, Service Management",37,1,0,1
"Specialist, Service Management",34,1,0,1
"Specialist, Technical Project Management",32,1,0,1
"Specialist, Technical Support",63,1,0,1
"Specialist, Technical Support",61,1,0,1
"Specialist, Technical Support",56,1,1,0
"Specialist, Technical Support",50,2,0,2
"Specialist, Technical Support",48,1,0,1
"Specialist, Technical Support",47,1,1,0
"Specialist, Technical Support",39,1,0,1
"Specialist, Technical Support",37,1,0,1
"Specialist, Technical Support",35,1,0,1
"Specialist, Technical Support",34,2,0,2
"Specialist, Technical Support",32,1,0,1
"Specialist, Technical Support",31,1,0,1
"Specialist, Technical Support",28,1,0,1
"Senior Specialist, Infrastructure Engineering",49,1,0,1
"Senior Specialist, Infrastructure Engineering",47,1,0,1
"Senior Specialist, Infrastructure Engineering",43,1,1,0
"Senior Specialist, Infrastructure Engineering",37,1,0,1
"Senior Specialist, Infrastructure Engineering",36,1,0,1
"Senior Specialist, Infrastructure Engineering",31,1,0,1
"Senior Specialist, Service Management",64,1,1,0
"Senior Specialist, Service Management",62,1,0,1
"Senior Specialist, Service Management",55,1,1,0
"Senior Specialist, Service Management",51,1,0,1
"Senior Specialist, Service Management",44,2,0,2
"Senior Specialist, Service Management",41,1,0,1
"Senior Specialist, Service Management",40,1,0,1
"Senior Specialist, Technical Product Management",33,1,0,1
"Senior Specialist, Technical Product Management",30,1,0,1
"Senior Specialist, Technical Project Management",67,1,0,1
"Senior Specialist, Technical Project Management",51,1,0,1
"Senior Specialist, Technical Project Management",48,1,0,1
"Senior Specialist, Technical Support",68,1,0,1
"Senior Specialist, Technical Support",57,1,1,0
"Senior Specialist, Technical Support",54,1,1,0
"Senior Specialist, Technical Support",51,1,0,1
"Senior Specialist, Technical Support",50,1,0,1
"Senior Specialist, Technical Support",39,2,0,2
"Senior Specialist, Technical Support",35,2,0,2
"Manager, Technical Product Management",52,1,0,1
"Associate Director, Service Delivery/Management",56,1,0,1
"Associate Director, Service Management",55,1,0,1
"Associate Director, Service Management",54,1,0,1
"Associate Director, Service Management",41,1,0,1
"Associate Director, Technical Architecture",53,1,0,1
"Associate Director, Technical Architecture",46,1,0,1
"Associate Director, Technical Product Management",56,1,0,1
"Associate Director, Technical Product Management",51,1,1,0
"Associate Director, Technical Product Management",39,1,0,1
"Associate Director, Technical Project Management",62,1,0,1
"Associate Director, Technical Project Management",44,1,0,1
"Associate Director, Technology Partnership",60,1,0,1
"Director, Service Management",60,1,1,0
"Director, Service Management",53,1,0,1
"Director, Service Management",51,2,0,2
"Director, Technical Product Management",59,1,0,1
"Director, Technical Product Management",58,1,0,1
"Director, Technical Support",50,1,1,0
"Senior Associate, Administrative Services",36,1,0,1
"Associate Specialist, Customer Success",24,1,0,1
"Associate Specialist, Data Analysis",25,1,0,1
"Specialist, Customer Success",53,1,0,1
"Specialist, Customer Success",51,1,0,1
"Specialist, Customer Success",46,1,0,1
"Specialist, Customer Success",44,1,0,1
"Specialist, Customer Success",37,1,0,1
"Specialist, Customer Success",36,1,0,1
"Specialist, Infrastructure Engineering",49,1,0,1
"Specialist, Infrastructure Engineering",46,1,0,1
"Specialist, Infrastructure Engineering",38,1,0,1
"Specialist, Infrastructure Engineering",35,1,0,1
"Specialist, Service Delivery/Management",41,1,1,0
"Specialist, Service Delivery/Management",32,1,0,1
"Specialist, Software Engineering",53,1,0,1
"Specialist, Software Engineering",41,1,0,1
"Specialist, Software Engineering",30,1,0,1
"Specialist, Technical Product Management",28,1,0,1
"Specialist, Technical Product Management",23,1,0,1
"Specialist, Technical Project Management",44,1,0,1
"Specialist, Technical Project Management",29,1,0,1
"Specialist, Technical Support",33,1,0,1
"Specialist, Technology Compliance",53,1,0,1
"Senior Specialist, Infrastructure Engineering",65,2,1,1
"Senior Specialist, Infrastructure Engineering",57,1,0,1
"Senior Specialist, Infrastructure Engineering",56,1,1,0
"Senior Specialist, Infrastructure Engineering",46,2,1,1
"Senior Specialist, Infrastructure Engineering",44,1,0,1
"Senior Specialist, Infrastructure Engineering",42,2,0,2
"Senior Specialist, Infrastructure Engineering",38,1,1,0
"Senior Specialist, Software Engineering",51,1,0,1
"Senior Specialist, Solution Architecture",60,1,0,1
"Senior Specialist, Technical Architecture",39,1,0,1
"Senior Specialist, Technical Project Management",69,1,0,1
"Senior Specialist, Technical Project Management",61,1,0,1
"Senior Specialist, Technical Project Management",50,1,0,1
"Senior Specialist, Technology Compliance",33,1,0,1
"Associate Director, Infrastructure Engineering",50,1,0,1
"Associate Director, Infrastructure Engineering",48,1,0,1
"Associate Director, Infrastructure Engineering",46,1,0,1
"Associate Director, Infrastructure Engineering",38,1,0,1
"Associate Director, Infrastructure Engineering",33,1,0,1
"Associate Director, Technical Product Management",51,2,0,2
"Associate Director, Technical Product Management",49,1,0,1
"Associate Director, Technical Product Management",47,1,0,1
"Associate Director, Technical Product Management",46,1,0,1
"Associate Director, Technical Product Management",34,1,0,1
"Associate Director, Technical Project Management",63,1,1,0
"Associate Director, Technical Project Management",60,1,0,1
"Associate Director, Technical Project Management",58,1,0,1
"Associate Director, Technical Project Management",57,2,0,2
"Associate Director, Technical Project Management",54,1,0,1
"Associate Director, Technical Project Management",48,1,0,1
"Associate Director, Technical Project Management",34,1,1,0
"Director, Infrastructure Engineering",62,1,0,1
"Director, Service Management",58,1,0,1
"Director, Technical Product Management",57,1,0,1
"Director, Technical Product Management",51,1,1,0
